# Time-averaged data for fix 22coord
# TimeStep c_sumcoor22
2000 0.0241667
4000 0.0313542
6000 0.0471875
8000 0.0827083
10000 0.0826042
12000 0.0585417
14000 0.0390625
16000 0.0382292
18000 0.0441667
20000 0.0539583
22000 0.0457292
24000 0.0378125
26000 0.0423958
28000 0.0470833
30000 0.0398958
32000 0.0411458
34000 0.0378125
36000 0.0383333
38000 0.0360417
40000 0.0272917
42000 0.0321875
44000 0.0307292
46000 0.028125
48000 0.0227083
50000 0.0227083
52000 0.0202083
54000 0.0204167
56000 0.020625
58000 0.016875
60000 0.0159375
62000 0.0161458
64000 0.0178125
66000 0.0153125
68000 0.0145833
70000 0.015
72000 0.0128125
74000 0.011875
76000 0.0132292
78000 0.0141667
80000 0.010625
82000 0.0102083
84000 0.0122917
86000 0.0090625
88000 0.00885417
90000 0.00604167
92000 0.00677083
94000 0.0078125
96000 0.00802083
98000 0.00739583
100000 0.0116667
