# Time-averaged data for fix temp_info
# TimeStep v_atemp
2000 5613.94
4000 5987.87
6000 5764.43
8000 5567.15
10000 5387.39
12000 5297.6
14000 5333.88
16000 5189.1
18000 4975.61
20000 4834.14
22000 4654.35
24000 4632.47
26000 4630.62
28000 4377.26
30000 4325.97
32000 4127.99
34000 4100.85
36000 3967.43
38000 3902.04
40000 3600.07
42000 3649.13
44000 3504.05
46000 3280.94
48000 3247.33
50000 3069.42
52000 3044.64
54000 2830.06
56000 2650.21
58000 2563.15
60000 2490.21
62000 2428.28
64000 2230.99
66000 2072.51
68000 2011.21
70000 1937.08
72000 1750.46
74000 1663.26
76000 1493.74
78000 1371.6
80000 1250.06
82000 1158.82
84000 1031.28
86000 919.16
88000 794.894
90000 664.512
92000 548.306
94000 419.267
96000 308.582
98000 191.381
100000 73.7479
