# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0
4000 0
6000 0.0003125
8000 0
10000 0.00114583
12000 0.0046875
14000 0.00458333
16000 0.0009375
18000 0
20000 0.00229167
22000 0.0003125
24000 0.0127083
26000 0.0084375
28000 0.000416667
30000 0.0169792
32000 0.0171875
34000 0.0223958
36000 0.0192708
38000 0.00697917
40000 0.006875
42000 0.0145833
44000 0.010625
46000 0.0028125
48000 0.00145833
50000 0
52000 0.0009375
54000 0
56000 0.00416667
58000 0.000625
60000 0
62000 0
64000 0
66000 0
68000 0
70000 0.00104167
72000 0
74000 0
76000 0
78000 0.00416667
80000 0.0015625
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
