# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0.000833333
4000 0.00260417
6000 0.00229167
8000 0.0015625
10000 0.0107292
12000 0.00208333
14000 0.00854167
16000 0.003125
18000 0.00333333
20000 0.00260417
22000 0.0028125
24000 0.0144792
26000 0.00135417
28000 0.0186458
30000 0.00864583
32000 0.00447917
34000 0.00125
36000 0.00302083
38000 0.000625
40000 0.000208333
42000 0
44000 0.000520833
46000 0.000104167
48000 0.00135417
50000 0.0127083
52000 0.00270833
54000 0.0147917
56000 0.0107292
58000 0.0111458
60000 0.0113542
62000 0
64000 0
66000 0
68000 0
70000 0
72000 0
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
