# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0
4000 0.00239583
6000 0.00458333
8000 0.0134375
10000 0.00416667
12000 0.00635417
14000 0.00927083
16000 0.014375
18000 0.0197917
20000 0.01
22000 0.021875
24000 0.0078125
26000 0.01625
28000 0.0164583
30000 0.0105208
32000 0.00364583
34000 0.0015625
36000 0.006875
38000 0.00291667
40000 0.0028125
42000 0.00260417
44000 0.0003125
46000 0
48000 0
50000 0.000416667
52000 0.0015625
54000 0.0003125
56000 0
58000 0
60000 0.0021875
62000 0.000625
64000 0
66000 0
68000 0
70000 0
72000 0
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
