# Time-averaged data for fix 22coord
# TimeStep c_sumcoor22
2000 0.0225
4000 0.0219792
6000 0.0283333
8000 0.0370833
10000 0.0540625
12000 0.0434375
14000 0.0540625
16000 0.044375
18000 0.0352083
20000 0.0378125
22000 0.05875
24000 0.0458333
26000 0.0414583
28000 0.0354167
30000 0.0338542
32000 0.0308333
34000 0.0278125
36000 0.02875
38000 0.0246875
40000 0.03
42000 0.0276042
44000 0.0233333
46000 0.0242708
48000 0.0233333
50000 0.028125
52000 0.0239583
54000 0.0194792
56000 0.02125
58000 0.0197917
60000 0.01875
62000 0.0165625
64000 0.0160417
66000 0.0175
68000 0.0160417
70000 0.0146875
72000 0.0129167
74000 0.0126042
76000 0.0116667
78000 0.0115625
80000 0.011875
82000 0.01125
84000 0.00885417
86000 0.0101042
88000 0.008125
90000 0.00947917
92000 0.00947917
94000 0.00833333
96000 0.010625
98000 0.0104167
100000 0.0148958
