# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0
4000 0
6000 0
8000 0
10000 0
12000 0
14000 0.00541667
16000 0.00375
18000 0.005625
20000 0.006875
22000 0.0040625
24000 0.00677083
26000 0.00854167
28000 0.0159375
30000 0.00625
32000 0.000416667
34000 0.000833333
36000 0.00520833
38000 0.000625
40000 0.0075
42000 0.00427083
44000 0.0003125
46000 0
48000 0
50000 0
52000 0
54000 0.000520833
56000 0
58000 0
60000 0
62000 0
64000 0
66000 0
68000 0
70000 0
72000 0
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
