# Time-averaged data for fix potential_info
# TimeStep v_apot
2000 -562.841
4000 -542.473
6000 -538.232
8000 -524.327
10000 -537.909
12000 -550.691
14000 -552.928
16000 -551.135
18000 -547.991
20000 -552.311
22000 -558.953
24000 -556.811
26000 -562.923
28000 -561.318
30000 -563.293
32000 -566.798
34000 -570.485
36000 -572.263
38000 -572.028
40000 -574.259
42000 -578.431
44000 -579.067
46000 -580.671
48000 -583.34
50000 -584.384
52000 -585.801
54000 -587.438
56000 -589.892
58000 -590.012
60000 -591.695
62000 -593.791
64000 -596.106
66000 -596.957
68000 -598.6
70000 -600.321
72000 -602.828
74000 -604.772
76000 -605.354
78000 -607.344
80000 -609.226
82000 -610.514
84000 -611.883
86000 -613.301
88000 -615.169
90000 -616.707
92000 -618.354
94000 -620.016
96000 -621.573
98000 -623.127
100000 -624.55
