# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0.00125
4000 0.0040625
6000 0.003125
8000 0.00270833
10000 0.01
12000 0.00770833
14000 0.00895833
16000 0.00645833
18000 0.00802083
20000 0.00541667
22000 0.00697917
24000 0.010625
26000 0.00989583
28000 0.0102083
30000 0.00145833
32000 0.00364583
34000 0.00291667
36000 0.00364583
38000 0.0015625
40000 0.00604167
42000 0.0034375
44000 0.000729167
46000 0.00125
48000 0.00822917
50000 0.00125
52000 0.000833333
54000 0.00125
56000 0.000625
58000 0.00447917
60000 0
62000 0.00302083
64000 0
66000 0.0021875
68000 0
70000 0
72000 0
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0.0065625
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
