# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0.0009375
4000 0.00229167
6000 0.000833333
8000 0.00427083
10000 0.006875
12000 0.000625
14000 0.000625
16000 0.000416667
18000 0.00520833
20000 0.0028125
22000 0.000625
24000 0.0046875
26000 0.00708333
28000 0.00302083
30000 0.0021875
32000 0.00145833
34000 0.000208333
36000 0.000520833
38000 0
40000 0.000208333
42000 0
44000 0
46000 0
48000 0
50000 0
52000 0
54000 0.000729167
56000 0
58000 0
60000 0
62000 0
64000 0
66000 0.004375
68000 0.0142708
70000 0.0142708
72000 0.0132292
74000 0.0148958
76000 0.0139583
78000 0.0141667
80000 0.0145833
82000 0.0152083
84000 0.0146875
86000 0.0144792
88000 0.0148958
90000 0.0152083
92000 0.01625
94000 0.0155208
96000 0.0147917
98000 0.0142708
100000 0.0133333
