# Time-averaged data for fix temp_info
# TimeStep v_atemp
2000 5697.94
4000 5675.32
6000 5593.91
8000 5625.55
10000 5414.58
12000 5311.24
14000 5159.43
16000 5209.49
18000 5198.38
20000 4913.58
22000 4830.79
24000 4554.65
26000 4483.45
28000 4288.91
30000 4239.02
32000 4221.85
34000 4050.37
36000 3891.54
38000 3825.13
40000 3664.87
42000 3616.34
44000 3529.9
46000 3333.6
48000 3241.09
50000 3178.94
52000 2997.8
54000 2843.85
56000 2720.62
58000 2566.07
60000 2458.38
62000 2363.4
64000 2286.75
66000 2125.54
68000 1979.45
70000 1924.28
72000 1776.23
74000 1604.05
76000 1504.41
78000 1334.09
80000 1238.31
82000 1158.18
84000 1030.42
86000 910.419
88000 767.791
90000 690.268
92000 553.645
94000 433.206
96000 316.33
98000 191.764
100000 76.2317
