# Time-averaged data for fix 12coord
# TimeStep c_sumcoor12
2000 1.32422
4000 1.31036
6000 1.28766
8000 1.28443
10000 1.2512
12000 1.3062
14000 1.32953
16000 1.34391
18000 1.33151
20000 1.31151
22000 1.35219
24000 1.35286
26000 1.3601
28000 1.375
30000 1.36734
32000 1.35823
34000 1.365
36000 1.3463
38000 1.35885
40000 1.37417
42000 1.36818
44000 1.37536
46000 1.37615
48000 1.3674
50000 1.37953
52000 1.37323
54000 1.38844
56000 1.39823
58000 1.395
60000 1.37401
62000 1.38172
64000 1.38198
66000 1.38042
68000 1.37458
70000 1.36703
72000 1.36068
74000 1.35969
76000 1.35984
78000 1.35906
80000 1.35714
82000 1.35792
84000 1.35906
86000 1.35745
88000 1.35667
90000 1.35969
92000 1.3563
94000 1.35646
96000 1.35542
98000 1.35453
100000 1.35417
