# Time-averaged data for fix 12coord
# TimeStep c_sumcoor12
2000 1.33089
4000 1.32516
6000 1.31464
8000 1.26859
10000 1.31344
12000 1.32703
14000 1.32865
16000 1.32792
18000 1.34156
20000 1.32833
22000 1.33057
24000 1.36318
26000 1.38021
28000 1.37167
30000 1.38042
32000 1.39021
34000 1.39089
36000 1.36979
38000 1.36281
40000 1.35521
42000 1.36339
44000 1.35896
46000 1.36589
48000 1.35307
50000 1.35484
52000 1.3549
54000 1.35625
56000 1.36021
58000 1.35786
60000 1.35115
62000 1.3513
64000 1.35208
66000 1.35135
68000 1.35083
70000 1.35083
72000 1.34979
74000 1.34969
76000 1.34818
78000 1.34844
80000 1.34797
82000 1.34797
84000 1.34812
86000 1.3488
88000 1.34797
90000 1.34901
92000 1.34891
94000 1.34849
96000 1.34974
98000 1.35031
100000 1.35255
