# Time-averaged data for fix potential_info
# TimeStep v_apot
2000 -564.651
4000 -543.739
6000 -531.902
8000 -533.769
10000 -540.138
12000 -538.293
14000 -548.589
16000 -551.967
18000 -553.453
20000 -555.021
22000 -560.08
24000 -561.58
26000 -561.304
28000 -561.389
30000 -562.228
32000 -566.316
34000 -570.052
36000 -571.223
38000 -573.504
40000 -576.103
42000 -578.821
44000 -580.27
46000 -580.215
48000 -582.353
50000 -585.715
52000 -586.748
54000 -587.688
56000 -589.086
58000 -589.753
60000 -592.063
62000 -594.474
64000 -594.694
66000 -596.01
68000 -598.096
70000 -600.517
72000 -602.197
74000 -605.266
76000 -606.15
78000 -608.067
80000 -609.198
82000 -610.938
84000 -612.934
86000 -614.532
88000 -615.882
90000 -617.593
92000 -619.178
94000 -620.885
96000 -622.408
98000 -623.99
100000 -625.436
