# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
2000 2278.72 12.9447 12.9447 13.5952
4000 2317.08 13.0179 13.0179 13.6721
6000 2333.48 13.0482 13.0482 13.7039
8000 2380.71 13.13 13.13 13.7898
10000 2368.78 13.1131 13.1131 13.772
12000 2358.42 13.0924 13.0924 13.7503
14000 2326.62 13.0354 13.0354 13.6904
16000 2322.78 13.0267 13.0267 13.6813
18000 2312.62 13.0064 13.0064 13.66
20000 2297.37 12.98 12.98 13.6322
22000 2329.08 13.0404 13.0404 13.6957
24000 2313.4 13.0105 13.0105 13.6643
26000 2307.51 12.9994 12.9994 13.6526
28000 2337.14 13.0532 13.0532 13.7091
30000 2287.95 12.9625 12.9625 13.6138
32000 2310.48 13.0056 13.0056 13.6591
34000 2289.08 12.9648 12.9648 13.6163
36000 2328.91 13.0377 13.0377 13.6928
38000 2355.56 13.0886 13.0886 13.7464
40000 2340.38 13.0615 13.0615 13.7179
42000 2336.11 13.0525 13.0525 13.7084
44000 2340.8 13.0611 13.0611 13.7174
46000 2352.27 13.0834 13.0834 13.7408
48000 2335.73 13.0528 13.0528 13.7088
50000 2335.21 13.0519 13.0519 13.7078
52000 2332.83 13.0469 13.0469 13.7025
54000 2331.1 13.0427 13.0427 13.6981
56000 2318.42 13.0202 13.0202 13.6745
58000 2323.23 13.0296 13.0296 13.6844
60000 2253.73 12.8972 12.8972 13.5453
62000 2320.42 13.0239 13.0239 13.6783
64000 2322.02 13.0272 13.0272 13.6818
66000 2323.96 13.0307 13.0307 13.6855
68000 2310.03 13.0045 13.0045 13.658
70000 2303.72 12.9921 12.9921 13.645
72000 2313.47 13.0107 13.0107 13.6645
74000 2314.29 13.0126 13.0126 13.6665
76000 2307.04 12.9991 12.9991 13.6524
78000 2304.08 12.9935 12.9935 13.6465
80000 2292.33 12.9712 12.9712 13.623
82000 2288.47 12.9641 12.9641 13.6156
84000 2293.22 12.9726 12.9726 13.6245
86000 2292.51 12.9714 12.9714 13.6232
88000 2290.91 12.9688 12.9688 13.6205
90000 2287.5 12.9625 12.9625 13.6139
92000 2287.3 12.9621 12.9621 13.6134
94000 2280.76 12.9496 12.9496 13.6004
96000 2273.33 12.9355 12.9355 13.5856
98000 2274.48 12.9378 12.9378 13.588
100000 2266.33 12.9224 12.9224 13.5717
