# Time-averaged data for fix 12coord
# TimeStep c_sumcoor12
694000 1.34995
696000 1.34755
698000 1.34859
700000 1.34693
702000 1.34776
704000 1.34849
706000 1.34797
708000 1.34927
710000 1.34813
712000 1.34813
714000 1.34807
716000 1.34859
718000 1.34823
720000 1.34792
722000 1.34807
724000 1.3488
726000 1.34901
728000 1.34745
730000 1.34901
732000 1.34792
734000 1.34802
736000 1.34943
738000 1.34797
740000 1.3476
742000 1.34802
744000 1.34875
746000 1.34885
748000 1.34812
750000 1.34865
752000 1.34745
754000 1.3501
756000 1.34833
758000 1.34911
760000 1.3487
762000 1.34917
764000 1.3487
766000 1.34818
768000 1.34891
770000 1.34807
772000 1.34953
774000 1.34807
776000 1.34823
778000 1.34927
780000 1.34911
782000 1.34885
784000 1.34911
786000 1.34937
788000 1.35005
790000 1.3501
792000 1.35036
794000 1.35031
796000 1.34859
798000 1.34896
800000 1.35125
802000 1.35208
804000 1.34969
806000 1.35047
808000 1.34974
810000 1.34859
812000 1.34943
814000 1.35073
816000 1.34974
818000 1.34995
820000 1.34896
822000 1.35073
824000 1.35005
826000 1.3501
828000 1.34896
830000 1.3487
832000 1.35094
834000 1.3499
836000 1.35214
838000 1.35073
840000 1.34979
842000 1.34969
844000 1.34964
846000 1.35016
848000 1.35198
850000 1.34958
852000 1.3501
854000 1.34922
856000 1.35057
858000 1.35052
860000 1.35146
862000 1.35062
864000 1.35161
866000 1.35052
868000 1.34948
870000 1.34927
872000 1.34885
874000 1.35031
876000 1.3499
878000 1.35089
880000 1.35115
882000 1.34958
884000 1.35021
886000 1.34932
888000 1.35141
890000 1.34901
892000 1.34891
894000 1.35219
896000 1.35026
898000 1.35031
900000 1.35031
902000 1.35203
904000 1.34943
906000 1.35109
908000 1.35187
910000 1.35109
912000 1.35245
914000 1.35219
916000 1.35172
918000 1.35365
920000 1.35328
922000 1.35141
924000 1.3525
926000 1.35411
928000 1.35312
930000 1.35375
932000 1.35396
934000 1.35615
936000 1.35578
938000 1.35557
940000 1.3562
942000 1.35635
944000 1.35797
946000 1.35729
948000 1.36089
950000 1.36135
952000 1.36052
954000 1.36161
956000 1.36328
958000 1.36411
960000 1.36385
962000 1.36458
964000 1.36458
966000 1.36458
968000 1.36458
970000 1.36458
972000 1.36458
974000 1.36458
976000 1.36458
978000 1.36458
980000 1.36458
982000 1.36458
984000 1.36458
986000 1.36458
988000 1.36458
990000 1.36458
992000 1.36458
994000 1.36453
996000 1.36438
998000 1.36458
1000000 1.36458
1002000 1.36458
1004000 1.36458
1006000 1.36458
1008000 1.36458
1010000 1.36458
1012000 1.36458
1014000 1.36458
1016000 1.36453
1018000 1.36458
1020000 1.36448
1022000 1.36458
1024000 1.36458
1026000 1.36432
1028000 1.36458
1030000 1.36458
1032000 1.36458
1034000 1.36417
1036000 1.36438
1038000 1.36458
1040000 1.36458
