# Time-averaged data for fix temp_info
# TimeStep v_atemp
2000 5616
4000 5900.65
6000 5789.51
8000 5873.1
10000 5738.43
12000 5906.22
14000 5884.25
16000 5825.3
18000 5906.41
20000 5642.84
22000 5682.3
24000 5822.81
26000 5737.69
28000 5742.66
30000 5693.53
32000 5514.69
34000 5473.4
36000 5603.36
38000 5424.55
40000 5469.16
42000 5401.09
44000 5405.48
46000 5326.67
48000 5347.72
50000 5478.79
52000 5439.91
54000 5288.29
56000 5357.27
58000 5414.71
60000 5207.87
62000 5270.61
64000 5178.05
66000 5069.24
68000 5107.25
70000 5130.71
72000 5169.56
74000 5181.86
76000 4924.08
78000 5059.59
80000 5084.98
82000 5045.94
84000 4865.21
86000 4946
88000 5047.29
90000 4983.19
92000 4867.34
94000 4855.05
96000 4898.93
98000 4909.71
100000 4707.31
102000 4803.25
104000 4694.11
106000 4548.58
108000 4793.5
110000 4616.09
112000 4679.18
114000 4541.83
116000 4394.28
118000 4654.28
120000 4441.2
122000 4609.06
124000 4571.2
126000 4364.29
128000 4361.87
130000 4268.23
132000 4400.43
134000 4415.83
136000 4237.07
138000 4296.39
140000 4369.14
142000 4309.2
144000 4120.6
146000 4117.26
148000 4156.63
150000 4258.52
152000 4177.47
154000 4103.94
156000 4129.17
158000 4137.99
160000 3947.8
162000 3874.29
164000 3927.14
166000 4010.46
168000 3994.69
170000 4107.61
172000 3985.72
174000 3916.81
176000 3954.22
178000 4099.04
180000 4017.46
182000 3989.66
184000 4043.9
186000 4095.67
188000 4113.92
190000 3990.54
192000 3937.05
194000 4028.68
196000 3992.22
198000 3961.39
200000 3933.81
202000 3887.84
204000 4086.55
206000 4020.57
208000 4052
210000 4037.9
212000 4092.55
214000 4009.7
216000 4039.25
218000 3961.09
220000 4049.47
222000 4055.86
224000 4064.54
226000 4098.99
228000 4081.97
230000 4014.08
232000 4020.96
234000 4042.14
236000 4093.56
238000 4046
240000 3984.18
242000 4019.96
244000 4049.54
246000 4006.06
248000 3911.45
250000 3852.57
252000 3915.51
254000 3910.11
256000 3741.11
258000 3679.51
260000 3841.04
262000 3811.66
264000 3768.23
266000 3762.38
268000 3648.06
270000 3586.71
272000 3543.12
274000 3568.32
276000 3463.19
278000 3570.72
280000 3484.98
282000 3586.54
284000 3531.42
286000 3524.01
288000 3450.01
290000 3380.66
292000 3409.72
294000 3441.3
296000 3413.86
298000 3301.62
300000 3388.08
302000 3253.11
304000 3298.29
306000 3264.83
308000 3112.03
310000 3051.8
312000 3109.83
314000 3039.94
316000 2987.23
318000 3025.18
320000 2931.08
322000 3022.05
324000 2976.16
326000 3006.84
328000 3064.66
330000 2971.42
332000 3004.17
334000 2966.35
336000 2967.23
338000 2992.19
340000 3042.41
342000 3088.58
344000 2993.42
346000 3056.43
348000 3050.99
350000 3083.28
352000 3088.26
354000 3016.36
356000 3079.58
358000 2995.73
360000 3070.32
362000 3093.73
364000 2958.15
366000 3011.05
368000 2982.07
370000 2920.61
372000 2930.02
374000 2921.7
376000 3065.33
378000 2922.8
380000 2925.3
382000 3004.86
384000 2918.96
386000 2991.89
388000 2968.98
390000 3041.02
392000 3017.48
394000 3024.12
396000 3046.67
398000 3044.17
400000 2983.01
402000 3008.09
404000 2927.49
406000 2929.52
408000 2866.66
410000 2843.53
412000 2938.58
414000 2818.3
416000 2775.13
418000 2836.7
420000 2806.46
422000 2813.25
424000 2791.68
426000 2753.1
428000 2729.8
430000 2568.9
432000 2673.44
434000 2589.55
436000 2523.36
438000 2556.83
440000 2584.57
442000 2573.2
444000 2440.12
446000 2419.7
448000 2334.99
450000 2365.45
452000 2408.18
454000 2398.88
456000 2300.54
458000 2213.26
460000 2261.58
462000 2297.89
464000 2249
466000 2158.87
468000 2121.93
470000 2163.4
472000 2104.93
474000 2134.58
476000 2085.25
478000 2032.86
480000 1999.34
482000 2062.68
484000 2049.6
486000 2025.1
488000 1958.14
490000 1932.67
492000 2018.5
494000 2006.73
496000 2038.89
498000 1975.86
500000 1952.99
502000 2020.97
504000 2062.6
506000 2042.34
508000 1962.54
510000 2023.73
512000 1949.25
514000 2000.5
516000 2045.51
518000 2033.9
520000 1971.3
522000 1961.4
524000 1972.3
526000 1964.42
528000 2012.71
530000 1980.47
532000 1969.58
534000 2044
536000 2060.15
538000 2031.65
540000 2023.99
542000 2042.55
544000 2002.91
546000 1949.1
548000 2040.42
550000 1994.17
552000 1997.58
554000 1944.88
556000 2027.43
558000 1934.95
560000 2025.59
562000 2024.19
564000 1925.91
566000 1910.95
568000 1937.06
570000 1865.74
572000 1833.11
574000 1823.15
576000 1794.06
578000 1846.2
580000 1809.58
582000 1788.4
584000 1742.12
586000 1733.67
588000 1619.3
590000 1665.52
592000 1635.17
594000 1549.75
596000 1599.1
598000 1573.69
600000 1551.69
602000 1498.25
604000 1475.84
606000 1402.2
608000 1427.25
610000 1390.46
612000 1367.62
614000 1334.94
616000 1273.74
618000 1327.04
620000 1248.59
622000 1215.63
624000 1230.97
626000 1203.81
628000 1178.62
630000 1146.64
632000 1119.3
634000 1128.13
636000 1053.63
638000 1021.47
640000 991.329
642000 982.45
644000 972.828
646000 1015.87
648000 1012.89
650000 1007.47
652000 1007.7
654000 1016.42
656000 992.495
658000 1004.45
660000 1014.09
662000 973.042
664000 1014.93
666000 1026.89
668000 1018.01
670000 968.591
672000 1014.31
674000 986.904
676000 1020.41
678000 981.982
680000 1000.1
682000 1013.18
684000 1006.32
686000 968.379
688000 1027.9
690000 1004.21
692000 971.969
694000 997.839
696000 982.091
698000 1001.7
700000 1015.63
702000 1029.55
704000 982.06
706000 1023.57
708000 970.497
710000 1016.4
712000 986.831
714000 974.54
716000 983.059
718000 998.514
720000 1008.54
722000 1000.57
724000 963.522
726000 970.038
728000 949.154
730000 920.552
732000 915.845
734000 895.87
736000 917.556
738000 902.584
740000 872.456
742000 860.092
744000 868.334
746000 849.902
748000 827.684
750000 803.329
752000 808.843
754000 785.901
756000 756.414
758000 776.831
760000 744.946
762000 743.554
764000 750.653
766000 723.573
768000 720.967
770000 684.638
772000 670.258
774000 685.717
776000 672.324
778000 636.179
780000 635.383
782000 630.812
784000 622.985
786000 610.445
788000 569.646
790000 553.963
792000 550.858
794000 544.566
796000 546.787
798000 504.25
800000 501.289
802000 510.802
804000 515.12
806000 488.043
808000 504.562
810000 487.273
812000 498.522
814000 504.998
816000 516.633
818000 500.795
820000 491.916
822000 512.962
824000 503.755
826000 494.654
828000 488.313
830000 488.593
832000 489.884
834000 501.117
836000 504.435
838000 506.93
840000 487.696
842000 514.665
844000 512.468
846000 485.889
848000 499.449
850000 506.322
852000 490.756
854000 502.241
856000 500.737
858000 516.127
860000 515.107
862000 513.081
864000 497.921
866000 510.753
868000 494.512
870000 501.358
872000 515.034
874000 507.487
876000 515.663
878000 507.298
880000 491.017
882000 505.052
884000 487.169
886000 460.834
888000 448.557
890000 461.117
892000 431.624
894000 422.041
896000 405.292
898000 408.932
900000 375.439
902000 377.182
904000 364.776
