# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0.000208333
4000 0.00291667
6000 0.0078125
8000 0.0108333
10000 0.00510417
12000 0.00333333
14000 0
16000 0.000625
18000 0.0175
20000 0.005625
22000 0.0003125
24000 0.0110417
26000 0.00625
28000 0.00364583
30000 0.00177083
32000 0.00708333
34000 0
36000 0
38000 0.000104167
40000 0
42000 0.00145833
44000 0.00479167
46000 0
48000 0.000208333
50000 0.000625
52000 0.000833333
54000 0.00104167
56000 0.0021875
58000 0.000833333
60000 0.00354167
62000 0
64000 0
66000 0
68000 0.00125
70000 0
72000 0
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
