# Time-averaged data for fix temp_info
# TimeStep v_atemp
2000 5585.47
4000 5867.11
6000 5507.86
8000 5570.24
10000 5432.66
12000 5342.54
14000 5331.98
16000 5211.94
18000 4834.87
20000 4986.43
22000 4771.31
24000 4584.82
26000 4474.91
28000 4346.58
30000 4263.65
32000 4210.47
34000 4102.95
36000 3990.36
38000 3897.03
40000 3748.23
42000 3619.92
44000 3400.95
46000 3279.23
48000 3085.6
50000 3100.99
52000 3000.46
54000 2878.42
56000 2753.56
58000 2645.05
60000 2514.3
62000 2404.38
64000 2285.87
66000 2134.67
68000 2019.92
70000 1913.24
72000 1758.08
74000 1644.92
76000 1543.69
78000 1401.84
80000 1228.57
82000 1133.41
84000 1060.53
86000 931.404
88000 809.54
90000 675.546
92000 563.311
94000 440.817
96000 308.505
98000 189.652
100000 75.5153
