# Time-averaged data for fix 22coord
# TimeStep c_sumcoor22
2000 0.0223958
4000 0.0564583
6000 0.04875
8000 0.0552083
10000 0.0467708
12000 0.0536458
14000 0.0620833
16000 0.0748958
18000 0.0725
20000 0.056875
22000 0.0560417
24000 0.0590625
26000 0.0521875
28000 0.0407292
30000 0.0398958
32000 0.036875
34000 0.0339583
36000 0.0322917
38000 0.0298958
40000 0.0260417
42000 0.0244792
44000 0.0241667
46000 0.0217708
48000 0.0189583
50000 0.0186458
52000 0.0201042
54000 0.02125
56000 0.019375
58000 0.0164583
60000 0.0182292
62000 0.0163542
64000 0.0153125
66000 0.0145833
68000 0.0155208
70000 0.0136458
72000 0.0110417
74000 0.010625
76000 0.0107292
78000 0.00885417
80000 0.00864583
82000 0.009375
84000 0.00947917
86000 0.00760417
88000 0.0059375
90000 0.00552083
92000 0.00645833
94000 0.00677083
96000 0.00583333
98000 0.008125
100000 0.00583333
