# Time-averaged data for fix 22coord
# TimeStep c_sumcoor22
2000 0.030625
4000 0.0467708
6000 0.0480208
8000 0.0478125
10000 0.059375
12000 0.0532292
14000 0.0305208
16000 0.0382292
18000 0.0371875
20000 0.0297917
22000 0.0310417
24000 0.0290625
26000 0.0373958
28000 0.035
30000 0.0344792
32000 0.0307292
34000 0.0298958
36000 0.0285417
38000 0.0301042
40000 0.0242708
42000 0.0248958
44000 0.0242708
46000 0.0232292
48000 0.0195833
50000 0.0203125
52000 0.0198958
54000 0.0172917
56000 0.0142708
58000 0.016875
60000 0.015625
62000 0.0164583
64000 0.0133333
66000 0.0116667
68000 0.0113542
70000 0.0114583
72000 0.0109375
74000 0.00979167
76000 0.0108333
78000 0.009375
80000 0.0096875
82000 0.00864583
84000 0.0059375
86000 0.00729167
88000 0.00604167
90000 0.00520833
92000 0.00427083
94000 0.00645833
96000 0.00729167
98000 0.00822917
100000 0.0101042
