# Time-averaged data for fix 12coord
# TimeStep c_sumcoor12
2000 1.32948
4000 1.33214
6000 1.31161
8000 1.30479
10000 1.31094
12000 1.30901
14000 1.3063
16000 1.29557
18000 1.29203
20000 1.29505
22000 1.29177
24000 1.30281
26000 1.31672
28000 1.31682
30000 1.31286
32000 1.30958
34000 1.3213
36000 1.32021
38000 1.31797
40000 1.33536
42000 1.33599
44000 1.33917
46000 1.34167
48000 1.33781
50000 1.33484
52000 1.33417
54000 1.33448
56000 1.33563
58000 1.3449
60000 1.34464
62000 1.34427
64000 1.34833
66000 1.34578
68000 1.34625
70000 1.34505
72000 1.34542
74000 1.34458
76000 1.34505
78000 1.34495
80000 1.34484
82000 1.34453
84000 1.34505
86000 1.34453
88000 1.34438
90000 1.34438
92000 1.34396
94000 1.34375
96000 1.34385
98000 1.34375
100000 1.34375
