# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
2000 2219.98 12.8329 12.8329 13.4777
4000 2209.53 12.8091 12.8091 13.4527
6000 2322.25 13.026 13.026 13.6806
8000 2292.17 12.9671 12.9671 13.6188
10000 2198.08 12.7896 12.7896 13.4323
12000 2274.48 12.9352 12.9352 13.5852
14000 2270.06 12.929 12.929 13.5787
16000 2241.13 12.8727 12.8727 13.5195
18000 2278.1 12.9441 12.9441 13.5946
20000 2188.46 12.7715 12.7715 13.4132
22000 2148.2 12.6901 12.6901 13.3278
24000 2093.74 12.5849 12.5849 13.2173
26000 2119.63 12.6365 12.6365 13.2715
28000 2117.91 12.6322 12.6322 13.2669
30000 2065.35 12.526 12.526 13.1554
32000 2077.73 12.5512 12.5512 13.182
34000 2063.15 12.5229 12.5229 13.1521
36000 2102.79 12.6026 12.6026 13.2359
38000 2158.94 12.7144 12.7144 13.3533
40000 2121.94 12.6415 12.6415 13.2767
42000 2092.21 12.5819 12.5819 13.2142
44000 2140.28 12.6779 12.6779 13.315
46000 2122.11 12.6397 12.6397 13.2749
48000 2051.08 12.4968 12.4968 13.1248
50000 2140.23 12.6767 12.6767 13.3137
52000 2107.59 12.6129 12.6129 13.2467
54000 2111.1 12.62 12.62 13.2541
56000 2098.43 12.5941 12.5941 13.227
58000 2093.37 12.5827 12.5827 13.215
60000 2055.46 12.5077 12.5077 13.1363
62000 2082.86 12.5631 12.5631 13.1944
64000 2062.73 12.5231 12.5231 13.1524
66000 2027.9 12.4513 12.4513 13.077
68000 2050.45 12.4975 12.4975 13.1256
70000 2057.53 12.5125 12.5125 13.1413
72000 2046.87 12.4906 12.4906 13.1183
74000 2045.72 12.4883 12.4883 13.1159
76000 2052.86 12.5028 12.5028 13.1311
78000 2020.38 12.436 12.436 13.061
80000 2032.02 12.4598 12.4598 13.0859
82000 2022.76 12.4416 12.4416 13.0668
84000 2019.12 12.4343 12.4343 13.0591
86000 2015.69 12.4272 12.4272 13.0517
88000 2009.88 12.4152 12.4152 13.0391
90000 2006.42 12.4078 12.4078 13.0314
92000 1998.68 12.3921 12.3921 13.0149
94000 1986.64 12.3673 12.3673 12.9887
96000 1991.13 12.3766 12.3766 12.9985
98000 1988.47 12.3711 12.3711 12.9927
100000 1980.01 12.3535 12.3535 12.9742
