# Time-averaged data for fix temp_info
# TimeStep v_atemp
2000 5662.27
4000 5780.68
6000 5607.33
8000 5475.58
10000 5536.61
12000 5445.93
14000 5188.14
16000 5162.03
18000 4841.33
20000 4751.79
22000 4709.58
24000 4697.39
26000 4454.44
28000 4481.11
30000 4384.42
32000 4260.41
34000 4102.35
36000 4037.28
38000 3757.88
40000 3598.11
42000 3633.73
44000 3424.96
46000 3401.4
48000 3138.04
50000 3089.52
52000 3017.07
54000 2751.9
56000 2677.97
58000 2588.99
60000 2455.2
62000 2364.79
64000 2254.91
66000 2088.83
68000 1929.75
70000 1824.34
72000 1709.14
74000 1681.19
76000 1508.55
78000 1435.5
80000 1272.27
82000 1148.34
84000 1016.23
86000 920.354
88000 796.002
90000 670.228
92000 542.702
94000 425.236
96000 311.473
98000 189.838
100000 75.366
