# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
2000 2336.22 13.0514 13.0514 13.7072
4000 2360.3 13.096 13.096 13.7541
6000 2333.64 13.0477 13.0477 13.7033
8000 2336.92 13.0544 13.0544 13.7104
10000 2328.27 13.0373 13.0373 13.6924
12000 2280.56 12.9488 12.9488 13.5995
14000 2316.91 13.0177 13.0177 13.6719
16000 2265.62 12.9208 12.9208 13.5701
18000 2305.95 12.9955 12.9955 13.6485
20000 2307.4 12.9984 12.9984 13.6516
22000 2308.41 13.0018 13.0018 13.6552
24000 2247.95 12.8865 12.8865 13.5341
26000 2263.93 12.9158 12.9158 13.5648
28000 2270.78 12.93 12.93 13.5797
30000 2275.26 12.9391 12.9391 13.5893
32000 2313.28 13.0089 13.0089 13.6626
34000 2314.47 13.013 13.013 13.6669
36000 2302.51 12.9904 12.9904 13.6432
38000 2204.92 12.8032 12.8032 13.4465
40000 2220.2 12.8336 12.8336 13.4785
42000 2228.73 12.8505 12.8505 13.4962
44000 2221.99 12.8374 12.8374 13.4825
46000 2196.66 12.7883 12.7883 13.4309
48000 2227.31 12.8474 12.8474 13.493
50000 2296.69 12.9791 12.9791 13.6313
52000 2307.51 13 13 13.6533
54000 2280.78 12.9495 12.9495 13.6003
56000 2264.68 12.9189 12.9189 13.5681
58000 2263.85 12.9166 12.9166 13.5657
60000 2285.91 12.9589 12.9589 13.6101
62000 2269.12 12.9276 12.9276 13.5773
64000 2266.9 12.9235 12.9235 13.5729
66000 2274.55 12.9379 12.9379 13.588
68000 2272.34 12.9336 12.9336 13.5835
70000 2274.79 12.9384 12.9384 13.5886
72000 2276.99 12.9426 12.9426 13.593
74000 2283.94 12.9556 12.9556 13.6066
76000 2273.76 12.9363 12.9363 13.5864
78000 2277.5 12.9435 12.9435 13.594
80000 2271.79 12.9327 12.9327 13.5826
82000 2276.73 12.9421 12.9421 13.5924
84000 2268.8 12.927 12.927 13.5766
86000 2268.26 12.9258 12.9258 13.5753
88000 2255.12 12.9006 12.9006 13.5489
90000 2256.47 12.9035 12.9035 13.5519
92000 2253.46 12.8979 12.8979 13.546
94000 2252.89 12.8968 12.8968 13.5449
96000 2248.01 12.8875 12.8875 13.5351
98000 2247.19 12.8859 12.8859 13.5334
100000 2244.33 12.8804 12.8804 13.5277
