# Time-averaged data for fix 22coord
# TimeStep c_sumcoor22
2000 0.0246875
4000 0.0284375
6000 0.0373958
8000 0.0510417
10000 0.0577083
12000 0.0469792
14000 0.0478125
16000 0.04125
18000 0.049375
20000 0.056875
22000 0.0540625
24000 0.0378125
26000 0.0385417
28000 0.0472917
30000 0.0382292
32000 0.0445833
34000 0.0376042
36000 0.038125
38000 0.0292708
40000 0.03
42000 0.0332292
44000 0.0334375
46000 0.0341667
48000 0.0307292
50000 0.0292708
52000 0.0238542
54000 0.0239583
56000 0.0257292
58000 0.021875
60000 0.0213542
62000 0.0208333
64000 0.020625
66000 0.02125
68000 0.02
70000 0.0172917
72000 0.0183333
74000 0.0155208
76000 0.015625
78000 0.01375
80000 0.0141667
82000 0.0142708
84000 0.01375
86000 0.013125
88000 0.0125
90000 0.0129167
92000 0.0110417
94000 0.014375
96000 0.0105208
98000 0.0116667
100000 0.0214583
