# Time-averaged data for fix potential_info
# TimeStep v_apot
2000 -565.784
4000 -543.675
6000 -533.218
8000 -520.719
10000 -514.514
12000 -513.962
14000 -519.249
16000 -523.223
18000 -534.83
20000 -534.12
22000 -534.587
24000 -538.823
26000 -534.939
28000 -540.062
30000 -540.443
32000 -540.57
34000 -547.424
36000 -548.242
38000 -541.131
40000 -543.473
42000 -540.378
44000 -553.027
46000 -550.737
48000 -547.056
50000 -549.307
52000 -547.767
54000 -546.35
56000 -549.884
58000 -552.869
60000 -545.909
62000 -547.296
64000 -544.77
66000 -547.719
68000 -552.252
70000 -555.777
72000 -554.055
74000 -553.602
76000 -555.721
78000 -554.921
80000 -558.357
82000 -555.554
84000 -551.052
86000 -553.63
88000 -557.455
90000 -553.946
92000 -558.378
94000 -557.571
96000 -562.024
98000 -561.406
100000 -561.304
102000 -564.174
104000 -565.77
106000 -569.274
108000 -567.583
110000 -567.677
112000 -561.733
114000 -563.919
116000 -564.478
118000 -562.492
120000 -561.756
122000 -565.522
124000 -569.073
126000 -565.261
128000 -566.291
130000 -566.816
132000 -564.867
134000 -565.139
136000 -568.82
138000 -569.199
140000 -569.599
142000 -568.133
144000 -570.792
146000 -569.916
148000 -570.076
150000 -569.918
152000 -573.44
154000 -569.983
156000 -568.108
158000 -574.396
160000 -578.32
162000 -577.213
164000 -574.714
166000 -576.039
168000 -576.308
170000 -572.997
172000 -573.511
174000 -574.628
176000 -574.502
178000 -573.883
180000 -573.1
182000 -576.299
184000 -573.7
186000 -570.584
188000 -572.29
190000 -571.303
192000 -573.467
194000 -572.139
196000 -571.711
198000 -577.301
200000 -575.652
202000 -576.039
204000 -575.839
206000 -575.583
208000 -574.809
210000 -575.331
212000 -576.139
214000 -577.237
216000 -579.678
218000 -578.953
220000 -578.194
222000 -576.123
224000 -575.169
226000 -575.998
228000 -577.006
230000 -576.529
232000 -577.232
234000 -572.206
236000 -574.27
238000 -574.75
240000 -574.266
242000 -573.248
244000 -574.612
246000 -579.371
248000 -576.959
250000 -579.969
252000 -579.597
254000 -578.686
256000 -579.778
258000 -578.267
260000 -579.283
262000 -580.096
264000 -582.663
266000 -580.509
268000 -582.088
270000 -580.58
272000 -580.857
274000 -580.598
276000 -580.172
278000 -581.228
280000 -582.33
282000 -582.081
284000 -583.032
286000 -583.474
288000 -582.769
290000 -583.552
292000 -582.257
294000 -583.126
296000 -583.38
298000 -582.957
