# Time-averaged data for fix potential_info
# TimeStep v_apot
2000 -562.672
4000 -551.839
6000 -540.095
8000 -538.412
10000 -534.709
12000 -525.525
14000 -528.895
16000 -541.946
18000 -537.374
20000 -540.366
22000 -545.389
24000 -539.45
26000 -538.293
28000 -541.586
30000 -544.682
32000 -536.216
34000 -539.207
36000 -538.713
38000 -548.465
40000 -542.075
42000 -547.989
44000 -548.977
46000 -549.594
48000 -548.268
50000 -546.772
52000 -545.816
54000 -553.487
56000 -548.195
58000 -539.555
60000 -549.445
62000 -547.146
64000 -541.834
66000 -548.191
68000 -554.801
70000 -551.773
72000 -551.605
74000 -550.682
76000 -557.111
78000 -560.357
80000 -562.842
82000 -557.253
84000 -559.324
86000 -555.893
88000 -559.739
90000 -556.925
92000 -559.48
94000 -561.196
96000 -558.21
98000 -561.556
100000 -563.045
102000 -561.768
104000 -561.132
106000 -563.008
108000 -567.781
110000 -567.501
112000 -571.65
114000 -569.809
116000 -563.219
118000 -563.151
120000 -563.935
122000 -567.458
124000 -563.929
126000 -563.123
128000 -563.872
130000 -564.002
132000 -563.538
134000 -568.31
136000 -570.768
138000 -567.995
140000 -565.275
142000 -564.945
144000 -564.185
146000 -564.8
148000 -567.511
150000 -565.836
152000 -570.275
154000 -567.207
156000 -573.072
158000 -570.745
160000 -574.411
162000 -572.388
164000 -570.6
166000 -573.33
168000 -573.541
170000 -572.812
172000 -572.94
174000 -570.903
176000 -570.076
178000 -570.149
180000 -568.976
182000 -571.615
184000 -568.613
186000 -568.161
188000 -570.211
190000 -569.547
192000 -572.413
194000 -573.082
196000 -573.431
198000 -573.745
200000 -571.942
202000 -573.099
204000 -575.031
206000 -570.932
208000 -574.578
210000 -576.641
212000 -573.387
214000 -570.52
216000 -574.221
218000 -576.457
220000 -577.148
222000 -576.709
224000 -575.121
226000 -573.606
228000 -575.65
230000 -578.696
232000 -579.726
234000 -579.397
236000 -578.373
238000 -575.155
240000 -574.977
242000 -575.028
244000 -574.867
246000 -577.812
248000 -579.005
250000 -576.705
252000 -578.766
254000 -578.162
256000 -578.878
258000 -579.955
260000 -578.139
262000 -578.955
264000 -578.913
266000 -581.521
268000 -580.645
270000 -580.779
272000 -580.079
274000 -581.683
276000 -582.835
278000 -581.673
280000 -583.136
282000 -583.104
284000 -584.959
286000 -583.772
288000 -582.854
290000 -583.108
292000 -585.376
294000 -585.276
296000 -585.694
298000 -585.677
300000 -587.125
302000 -585.422
304000 -585.842
306000 -586.28
308000 -586.482
310000 -586.791
312000 -587.23
314000 -587.213
316000 -587.947
318000 -586.344
320000 -587.714
322000 -588.741
324000 -586.688
326000 -585.877
328000 -586.482
330000 -587.061
332000 -587.758
334000 -586.507
336000 -587.823
338000 -587.07
340000 -588.561
342000 -590.073
344000 -590.611
346000 -591.022
348000 -588.026
350000 -590.331
352000 -588.801
354000 -588.645
356000 -590.371
358000 -589.767
360000 -589.82
362000 -588.733
364000 -588.673
366000 -589.859
368000 -589.506
370000 -591.362
372000 -591.031
374000 -591.31
376000 -593.318
378000 -590.938
380000 -591.366
382000 -588.97
384000 -590.605
386000 -590.02
388000 -590.054
390000 -590.342
392000 -590.579
394000 -589.903
396000 -589.388
398000 -590.868
400000 -589.636
402000 -590.965
404000 -591.318
406000 -592.563
408000 -593.335
410000 -592.763
412000 -593.031
414000 -591.685
416000 -590.658
418000 -590.763
420000 -590.877
422000 -595.822
424000 -595.318
426000 -595.989
428000 -596.186
430000 -596.574
432000 -597.491
434000 -598.118
436000 -599.016
438000 -597.894
440000 -598.063
442000 -598.598
444000 -597.269
446000 -598.092
448000 -600.138
450000 -600.079
452000 -601.624
454000 -601.528
456000 -603.105
458000 -604.418
460000 -603.486
462000 -604.542
464000 -604.509
466000 -604.888
468000 -605.035
470000 -606.19
472000 -605.532
474000 -606.014
476000 -607.045
478000 -608.015
480000 -607.783
482000 -607.49
484000 -607.581
486000 -607.442
488000 -607.713
490000 -606.836
492000 -606.463
494000 -607.817
496000 -607.235
498000 -608.02
500000 -607.42
502000 -608.346
504000 -606.495
506000 -606.574
508000 -606.072
510000 -606.241
512000 -605.82
514000 -605.55
516000 -606.017
518000 -606.263
520000 -605.796
522000 -605.546
524000 -606.161
526000 -607.233
528000 -606.12
530000 -604.953
532000 -605.758
534000 -606.106
536000 -606.007
538000 -606.12
540000 -605.914
542000 -605.348
544000 -605.142
546000 -605.45
548000 -605.502
550000 -606.114
552000 -604.96
554000 -605.708
556000 -605.238
558000 -605.357
560000 -604.926
562000 -604.884
564000 -606.16
566000 -605.849
568000 -606.187
570000 -606.618
572000 -606.986
574000 -607.277
576000 -608.526
578000 -608.456
580000 -609.017
582000 -609.638
584000 -610.189
586000 -609.675
588000 -609.817
590000 -611.002
592000 -611.301
594000 -610.986
596000 -611.334
598000 -611.495
600000 -612.477
602000 -612.37
604000 -613.37
606000 -613.641
608000 -613.743
610000 -613.6
612000 -614.361
614000 -613.782
616000 -615.23
618000 -615.186
620000 -615.232
622000 -615.825
624000 -616.359
626000 -616.753
628000 -617.129
630000 -617.488
632000 -617.823
634000 -617.197
