# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0
4000 0.0003125
6000 0.000208333
8000 0
10000 0.00447917
12000 0.00385417
14000 0.00541667
16000 0.00822917
18000 0.015
20000 0.00572917
22000 0.00364583
24000 0.0090625
26000 0.00177083
28000 0.00197917
30000 0.00614583
32000 0.001875
34000 0.00479167
36000 0.001875
38000 0.000208333
40000 0.00239583
42000 0.0084375
44000 0.006875
46000 0.00302083
48000 0.0003125
50000 0.001875
52000 0.00135417
54000 0.00385417
56000 0
58000 0.0003125
60000 0.0003125
62000 0
64000 0.000833333
66000 0
68000 0
70000 0
72000 0.0003125
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
