# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
2000 2314.31 13.0104 13.0104 13.6642
4000 2251.79 12.8935 12.8935 13.5414
6000 2144.82 12.682 12.682 13.3193
8000 1670.15 11.6678 11.6678 12.2541
10000 1504.82 11.2722 11.2722 11.8386
12000 1403.53 11.0127 11.0127 11.5661
14000 1351.6 10.8762 10.8762 11.4228
16000 1377.82 10.9465 10.9465 11.4965
18000 1558.69 11.4043 11.4043 11.9774
20000 1619.87 11.5503 11.5503 12.1307
22000 1641.43 11.6037 11.6037 12.1868
24000 1631.37 11.5785 11.5785 12.1604
26000 1641.43 11.6017 11.6017 12.1847
28000 1534.37 11.3418 11.3418 11.9118
30000 1532.49 11.3412 11.3412 11.9111
32000 1500.2 11.2616 11.2616 11.8275
34000 1544.61 11.37 11.37 11.9414
36000 1542.81 11.3642 11.3642 11.9353
38000 1493.31 11.2442 11.2442 11.8093
40000 1486.15 11.2262 11.2262 11.7904
42000 1502.71 11.2679 11.2679 11.8341
44000 1487.61 11.2303 11.2303 11.7946
46000 1487.35 11.2296 11.2296 11.7939
48000 1510.35 11.2869 11.2869 11.8541
50000 1498.62 11.2577 11.2577 11.8234
52000 1503.04 11.2684 11.2684 11.8346
54000 1537.97 11.3552 11.3552 11.9258
56000 1534.74 11.3477 11.3477 11.9179
58000 1531.9 11.3405 11.3405 11.9103
60000 1506.73 11.2778 11.2778 11.8445
62000 1510.56 11.2868 11.2868 11.854
64000 1529.64 11.3348 11.3348 11.9043
66000 1515.34 11.2998 11.2998 11.8676
68000 1516.32 11.302 11.302 11.8699
70000 1507.83 11.2806 11.2806 11.8474
72000 1517.43 11.3049 11.3049 11.873
74000 1505.45 11.275 11.275 11.8416
76000 1506.12 11.2768 11.2768 11.8434
78000 1500.92 11.2637 11.2637 11.8297
80000 1511.71 11.2899 11.2899 11.8572
82000 1493.53 11.2449 11.2449 11.81
84000 1494.18 11.2469 11.2469 11.8121
86000 1496.24 11.2521 11.2521 11.8176
88000 1491.73 11.2408 11.2408 11.8057
90000 1485.66 11.2256 11.2256 11.7897
92000 1482.1 11.2166 11.2166 11.7802
94000 1477.44 11.2047 11.2047 11.7678
96000 1475.86 11.2007 11.2007 11.7635
98000 1463.93 11.1705 11.1705 11.7318
100000 1464.12 11.171 11.171 11.7324
