# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0.000208333
4000 0.00145833
6000 0
8000 0.00270833
10000 0.00854167
12000 0.00270833
14000 0.00510417
16000 0.00135417
18000 0.00510417
20000 0.00166667
22000 0.005625
24000 0.0122917
26000 0.0053125
28000 0.00947917
30000 0.0065625
32000 0.00364583
34000 0.0003125
36000 0
38000 0.00145833
40000 0.000625
42000 0.0003125
44000 0.000104167
46000 0
48000 0
50000 0.000208333
52000 0
54000 0
56000 0.00125
58000 0
60000 0.000208333
62000 0
64000 0
66000 0
68000 0
70000 0
72000 0
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
