# Time-averaged data for fix potential_info
# TimeStep v_apot
2000 -567.864
4000 -562.101
6000 -559.736
8000 -552.306
10000 -555.054
12000 -557.565
14000 -558.805
16000 -558.223
18000 -556.81
20000 -559.374
22000 -561.166
24000 -567.059
26000 -571.489
28000 -572.664
30000 -573.734
32000 -574.777
34000 -576.483
36000 -577.913
38000 -577.385
40000 -582.315
42000 -583.372
44000 -584.795
46000 -586.909
48000 -589.723
50000 -590.808
52000 -591.484
54000 -592.931
56000 -594.041
58000 -595.35
60000 -598.36
62000 -599.211
64000 -601.317
66000 -603.075
68000 -604.294
70000 -605.303
72000 -607.518
74000 -609.499
76000 -610.163
78000 -612.125
80000 -613.844
82000 -615.631
84000 -617.09
86000 -618.736
88000 -620.572
90000 -622.282
92000 -623.673
94000 -625.413
96000 -626.911
98000 -628.414
100000 -629.866
