# Time-averaged data for fix potential_info
# TimeStep v_apot
2000 -565.462
4000 -552.619
6000 -545.912
8000 -542.29
10000 -548.851
12000 -541.011
14000 -540.508
16000 -548.129
18000 -550.045
20000 -552.944
22000 -554.707
24000 -560.941
26000 -564.641
28000 -567.089
30000 -570.189
32000 -570.746
34000 -571.451
36000 -574.069
38000 -575.521
40000 -576.041
42000 -579.553
44000 -582.435
46000 -585.625
48000 -584.405
50000 -587.713
52000 -589.086
54000 -591.062
56000 -592.351
58000 -593.534
60000 -594.434
62000 -596.182
64000 -597.709
66000 -599.159
68000 -601.208
70000 -603.253
72000 -604.896
74000 -606.257
76000 -607.751
78000 -609.592
80000 -611.585
82000 -613.219
84000 -614.875
86000 -616.31
88000 -617.559
90000 -618.948
92000 -620.452
94000 -622.31
96000 -623.904
98000 -625.384
100000 -626.83
