# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
2000 2322.02 13.0248 13.0248 13.6793
4000 2254.32 12.8978 12.8978 13.5459
6000 2264.14 12.9155 12.9155 13.5645
8000 2378.82 13.1319 13.1319 13.7918
10000 2274.82 12.937 12.937 13.5871
12000 2112.78 12.6212 12.6212 13.2554
14000 2110.35 12.6185 12.6185 13.2526
16000 2112.68 12.6218 12.6218 13.2561
18000 1822.98 12.0145 12.0145 12.6182
20000 1911.36 12.206 12.206 12.8194
22000 1807.33 11.9829 11.9829 12.585
24000 1762.57 11.8833 11.8833 12.4805
26000 1745.04 11.8427 11.8427 12.4378
28000 1833.48 12.0386 12.0386 12.6435
30000 1760.48 11.8779 11.8779 12.4747
32000 1692.94 11.7249 11.7249 12.3141
34000 1679.93 11.694 11.694 12.2816
36000 1659.28 11.6449 11.6449 12.2301
38000 1647.7 11.6194 11.6194 12.2033
40000 1678.61 11.6918 11.6918 12.2793
42000 1599.27 11.5041 11.5041 12.0822
44000 1600.31 11.506 11.506 12.0842
46000 1574.3 11.444 11.444 12.0191
48000 1599.97 11.5059 11.5059 12.0841
50000 1580.97 11.4606 11.4606 12.0365
52000 1599.99 11.5063 11.5063 12.0845
54000 1615.44 11.5426 11.5426 12.1227
56000 1596.5 11.4972 11.4972 12.0749
58000 1597.01 11.4992 11.4992 12.077
60000 1598.21 11.5016 11.5016 12.0795
62000 1594.02 11.4916 11.4916 12.0691
64000 1588.29 11.4774 11.4774 12.0542
66000 1592.27 11.487 11.487 12.0642
68000 1589.46 11.4795 11.4795 12.0564
70000 1599.4 11.5044 11.5044 12.0825
72000 1587.17 11.4753 11.4753 12.0519
74000 1589.43 11.4807 11.4807 12.0577
76000 1579.26 11.4561 11.4561 12.0318
78000 1588.03 11.4773 11.4773 12.054
80000 1577.24 11.4516 11.4516 12.0271
82000 1575.76 11.448 11.448 12.0232
84000 1573.51 11.4423 11.4423 12.0173
86000 1569.43 11.4326 11.4326 12.0071
88000 1567.98 11.4291 11.4291 12.0034
90000 1559.32 11.4079 11.4079 11.9812
92000 1563.05 11.417 11.417 11.9907
94000 1548.72 11.382 11.382 11.954
96000 1553.37 11.3935 11.3935 11.966
98000 1543.37 11.369 11.369 11.9403
100000 1538.6 11.3573 11.3573 11.9281
