# Time-averaged data for fix potential_info
# TimeStep v_apot
2000 -569.964
4000 -565.207
6000 -559.846
8000 -561.354
10000 -555.94
12000 -562.477
14000 -558.578
16000 -554.053
18000 -565.838
20000 -566.951
22000 -568.799
24000 -568.994
26000 -570.558
28000 -570.84
30000 -575.118
32000 -575.023
34000 -574.908
36000 -578.749
38000 -579.123
40000 -582.322
42000 -585.928
44000 -586.639
46000 -588.528
48000 -592.911
50000 -595.327
52000 -594.72
54000 -596.756
56000 -598.135
58000 -599.91
60000 -602.52
62000 -603.465
64000 -605.071
66000 -606.312
68000 -607.878
70000 -609.559
72000 -610.815
74000 -612.812
76000 -615.108
78000 -616.306
80000 -618.177
82000 -618.977
84000 -620.879
86000 -622.55
88000 -624.098
90000 -625.742
92000 -627.257
94000 -629.023
96000 -630.511
98000 -632.072
100000 -633.575
