# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0
4000 0.0003125
6000 0
8000 0
10000 0.0021875
12000 0.00239583
14000 0.005
16000 0.000729167
18000 0
20000 0.000416667
22000 0.000208333
24000 0
26000 0.00239583
28000 0
30000 0.00166667
32000 0.00125
34000 0.0003125
36000 0
38000 0
40000 0
42000 0
44000 0
46000 0.000208333
48000 0
50000 0
52000 0
54000 0
56000 0
58000 0
60000 0
62000 0
64000 0
66000 0
68000 0
70000 0
72000 0
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
