# Time-averaged data for fix 12coord
# TimeStep c_sumcoor12
2000 1.33146
4000 1.32615
6000 1.32359
8000 1.32057
10000 1.31458
12000 1.32802
14000 1.31042
16000 1.29021
18000 1.3162
20000 1.32438
22000 1.3363
24000 1.33099
26000 1.32391
28000 1.31854
30000 1.32536
32000 1.32578
34000 1.32484
36000 1.32484
38000 1.31948
40000 1.32516
42000 1.3351
44000 1.33438
46000 1.33391
48000 1.33458
50000 1.33411
52000 1.33438
54000 1.33458
56000 1.33396
58000 1.33411
60000 1.33375
62000 1.33375
64000 1.33401
66000 1.33354
68000 1.33354
70000 1.33391
72000 1.33354
74000 1.33354
76000 1.33365
78000 1.33349
80000 1.33339
82000 1.33344
84000 1.33344
86000 1.33333
88000 1.33333
90000 1.33333
92000 1.33333
94000 1.33333
96000 1.33333
98000 1.33333
100000 1.33333
