# Time-averaged data for fix 12coord
# TimeStep c_sumcoor12
2000 1.32505
4000 1.3049
6000 1.2426
8000 1.24339
10000 1.25594
12000 1.26896
14000 1.29391
16000 1.26776
18000 1.29958
20000 1.3238
22000 1.33177
24000 1.30635
26000 1.32656
28000 1.32078
30000 1.30432
32000 1.32771
34000 1.32469
36000 1.32005
38000 1.34896
40000 1.30547
42000 1.30078
44000 1.30766
46000 1.2726
48000 1.27615
50000 1.32026
52000 1.3213
54000 1.32734
56000 1.32568
58000 1.31578
60000 1.32698
62000 1.32339
64000 1.31057
66000 1.34677
68000 1.32057
70000 1.2999
72000 1.32115
74000 1.295
76000 1.29365
78000 1.32156
80000 1.30068
82000 1.31667
84000 1.30266
86000 1.31661
88000 1.32714
90000 1.33807
92000 1.33068
94000 1.34219
96000 1.35443
98000 1.3312
100000 1.33047
102000 1.34057
104000 1.35438
106000 1.35625
108000 1.35979
110000 1.3413
112000 1.34141
114000 1.35182
116000 1.3576
118000 1.34104
120000 1.33557
122000 1.34198
124000 1.33339
126000 1.33536
128000 1.34693
130000 1.33729
132000 1.32969
134000 1.33031
136000 1.31974
138000 1.3338
140000 1.35198
142000 1.34661
144000 1.34313
146000 1.32698
148000 1.31885
150000 1.33182
152000 1.34969
154000 1.33271
156000 1.35365
158000 1.35047
160000 1.36542
162000 1.36167
164000 1.34563
166000 1.3463
168000 1.35578
170000 1.35229
172000 1.35599
174000 1.36094
176000 1.35661
178000 1.36323
180000 1.35547
182000 1.36932
184000 1.35807
186000 1.35672
188000 1.35328
190000 1.34917
192000 1.34224
194000 1.3413
196000 1.33979
198000 1.345
200000 1.34219
202000 1.33036
204000 1.33255
206000 1.32536
208000 1.33224
210000 1.35484
212000 1.34573
214000 1.34891
216000 1.34729
218000 1.36141
220000 1.3625
222000 1.37875
224000 1.36047
226000 1.35708
228000 1.35687
230000 1.37984
232000 1.3849
234000 1.36536
236000 1.35849
238000 1.35802
240000 1.34615
242000 1.34698
244000 1.35437
246000 1.36818
248000 1.3601
250000 1.35865
252000 1.35927
254000 1.36021
256000 1.36958
258000 1.36026
260000 1.36245
262000 1.35385
264000 1.34943
266000 1.33724
268000 1.34354
270000 1.35286
272000 1.35073
274000 1.35089
276000 1.3462
278000 1.34854
280000 1.33797
282000 1.36255
284000 1.35359
286000 1.34776
288000 1.34781
290000 1.3625
292000 1.35719
294000 1.34521
296000 1.35859
298000 1.35729
300000 1.34167
302000 1.35255
304000 1.36625
306000 1.37625
308000 1.3837
310000 1.38354
312000 1.37391
314000 1.37484
316000 1.36964
318000 1.37089
320000 1.37917
322000 1.37661
324000 1.38333
326000 1.37302
328000 1.36552
330000 1.35693
332000 1.35771
334000 1.35859
336000 1.35875
338000 1.36953
340000 1.37005
342000 1.36828
344000 1.36854
346000 1.36896
348000 1.36844
350000 1.37276
352000 1.37927
354000 1.3751
356000 1.37969
358000 1.37432
360000 1.37302
362000 1.37177
364000 1.36453
366000 1.38031
368000 1.37995
370000 1.37672
372000 1.38641
374000 1.3699
376000 1.36146
378000 1.35391
380000 1.35573
382000 1.35958
384000 1.37047
386000 1.37932
388000 1.38536
390000 1.38849
392000 1.38026
394000 1.38375
396000 1.38354
398000 1.37339
400000 1.38984
402000 1.38609
404000 1.38552
406000 1.36917
408000 1.36943
410000 1.36115
412000 1.36896
414000 1.3749
416000 1.37656
418000 1.37875
420000 1.38167
422000 1.39682
424000 1.3975
426000 1.40208
428000 1.40849
430000 1.41052
432000 1.41026
434000 1.41745
436000 1.42297
438000 1.42849
440000 1.41896
442000 1.41687
444000 1.41484
446000 1.41911
448000 1.41297
450000 1.41359
452000 1.4025
454000 1.3962
456000 1.39328
458000 1.39437
460000 1.39099
462000 1.39104
464000 1.40385
466000 1.41302
468000 1.42307
470000 1.4249
472000 1.42995
474000 1.43979
476000 1.43865
478000 1.43859
480000 1.43812
482000 1.4426
484000 1.44453
486000 1.43557
488000 1.43635
490000 1.43818
492000 1.4325
494000 1.4176
496000 1.4124
498000 1.41385
500000 1.41333
502000 1.41474
504000 1.4137
506000 1.42594
508000 1.41708
510000 1.41505
512000 1.41458
514000 1.41359
516000 1.41542
518000 1.41437
520000 1.42078
522000 1.4251
524000 1.4213
526000 1.41958
528000 1.41797
530000 1.41781
532000 1.42396
534000 1.42385
536000 1.41969
538000 1.41906
540000 1.42646
542000 1.43385
544000 1.43688
546000 1.43026
548000 1.4249
550000 1.42729
552000 1.42813
554000 1.42651
556000 1.42672
558000 1.42703
560000 1.42615
562000 1.42688
564000 1.42661
566000 1.42911
568000 1.4276
570000 1.42802
572000 1.42745
574000 1.42922
576000 1.42688
578000 1.4274
580000 1.42797
582000 1.42854
584000 1.42703
586000 1.42719
588000 1.42745
590000 1.42797
592000 1.42771
594000 1.42854
596000 1.42682
598000 1.42724
600000 1.43094
602000 1.43271
604000 1.43193
606000 1.42786
608000 1.42677
610000 1.42818
612000 1.42771
614000 1.42719
616000 1.42792
618000 1.42677
620000 1.42682
622000 1.4276
624000 1.4287
626000 1.42682
628000 1.4274
630000 1.42776
632000 1.42891
634000 1.42755
636000 1.42771
638000 1.42703
640000 1.42797
642000 1.42865
644000 1.4287
646000 1.42802
648000 1.42854
650000 1.42917
652000 1.42891
654000 1.4275
656000 1.42938
658000 1.42839
660000 1.43135
662000 1.4299
664000 1.42844
666000 1.42807
668000 1.42766
670000 1.42854
672000 1.42901
674000 1.42786
676000 1.4288
678000 1.42734
680000 1.42969
682000 1.42922
684000 1.42859
686000 1.42969
688000 1.42927
690000 1.42979
692000 1.42672
694000 1.4288
696000 1.4275
698000 1.42927
700000 1.4299
702000 1.42812
704000 1.42854
706000 1.42792
708000 1.42875
710000 1.42865
712000 1.4288
